date,priceUsd,circulatingSupply
2024-06-01 00:00:00,67544.1626821901538587,19699693.0000000000000000
2024-06-01 01:00:00,67641.3521688612210518,19699693.0000000000000000
2024-06-01 02:00:00,67549.4130665698285512,19706225.0000000000000000
2024-06-01 03:00:00,67730.3296122779235663,19706225.0000000000000000
2024-06-01 04:00:00,67731.6634111831969165,19706225.0000000000000000
2024-06-01 05:00:00,67712.8142819548379412,19706225.0000000000000000
2024-06-01 06:00:00,67693.1516579941359935,19706275.0000000000000000
2024-06-01 07:00:00,67694.8715203917913953,19706275.0000000000000000
2024-06-01 08:00:00,67636.0631517079670141,19706328.0000000000000000
2024-06-01 09:00:00,67719.3514065711996945,19706328.0000000000000000
2024-06-01 10:00:00,67698.1631045670771715,19706328.0000000000000000
2024-06-01 11:00:00,67630.1934519199661742,19706328.0000000000000000
2024-06-01 12:00:00,67658.6429251157666903,19706371.0000000000000000
2024-06-01 13:00:00,67754.6728966807879689,19706371.0000000000000000
2024-06-01 14:00:00,67753.3071399951400946,19706431.0000000000000000
2024-06-01 15:00:00,67816.7621790996315887,19706431.0000000000000000
2024-06-01 16:00:00,67701.0211538411176022,19706431.0000000000000000
2024-06-01 17:00:00,67704.5442334789698162,19706431.0000000000000000
2024-06-01 18:00:00,67803.4720279988456633,19706490.0000000000000000
2024-06-01 19:00:00,67761.4362840776132112,19706490.0000000000000000
2024-06-01 20:00:00,67806.9423811039996305,19706525.0000000000000000
2024-06-01 21:00:00,67829.7975287021161601,19706525.0000000000000000
2024-06-01 22:00:00,67816.4206135158633465,19706525.0000000000000000
2024-06-01 23:00:00,67791.2598957175539649,19706525.0000000000000000
2024-06-02 00:00:00,67805.3304260628874196,19706571.0000000000000000
2024-06-02 01:00:00,67914.5777611130196978,19706571.0000000000000000
2024-06-02 02:00:00,67784.4909229168597255,19706653.0000000000000000
2024-06-02 03:00:00,67764.4383668754186408,19706653.0000000000000000
2024-06-02 04:00:00,67830.2153405776154953,19706653.0000000000000000
2024-06-02 05:00:00,67912.2417899177038507,19706653.0000000000000000
2024-06-02 06:00:00,67798.3432219819801674,19706681.0000000000000000
2024-06-02 07:00:00,67880.8452069512418773,19706681.0000000000000000
2024-06-02 08:00:00,67783.7079123769390856,19706725.0000000000000000
2024-06-02 09:00:00,67794.9741360521772771,19706725.0000000000000000
2024-06-02 10:00:00,67562.6334000341903203,19706725.0000000000000000
2024-06-02 11:00:00,67569.4273252361810022,19706725.0000000000000000
2024-06-02 12:00:00,68263.6531441002398663,19706778.0000000000000000
2024-06-02 13:00:00,67956.4254291548746955,19706778.0000000000000000
2024-06-02 14:00:00,68178.8011539604084433,19706800.0000000000000000
2024-06-02 15:00:00,68256.1797166014788658,19706800.0000000000000000
2024-06-02 16:00:00,68156.6089334706221316,19706800.0000000000000000
2024-06-02 17:00:00,68120.0625267367121590,19706800.0000000000000000
2024-06-02 18:00:00,67930.1052601908265559,19706890.0000000000000000
2024-06-02 19:00:00,67765.6371489866637711,19706890.0000000000000000
2024-06-02 20:00:00,67841.6579851638030048,19706925.0000000000000000
2024-06-02 21:00:00,67870.9751161603265557,19706925.0000000000000000
2024-06-02 22:00:00,67855.6841727753162363,19706925.0000000000000000
2024-06-02 23:00:00,67964.3033755680540725,19706925.0000000000000000
2024-06-03 00:00:00,67837.3092774409345591,19707028.0000000000000000
2024-06-03 01:00:00,67807.1322637546656019,19707028.0000000000000000
2024-06-03 02:00:00,68460.5816768227325688,19707103.0000000000000000
2024-06-03 03:00:00,68453.2754858054996965,19707103.0000000000000000
2024-06-03 04:00:00,68406.3038281333510095,19707103.0000000000000000
2024-06-03 05:00:00,68526.6801151388510961,19707103.0000000000000000
2024-06-03 06:00:00,68669.1496092377520395,19707153.0000000000000000
2024-06-03 07:00:00,69019.0302234996732318,19707153.0000000000000000
2024-06-03 08:00:00,68877.2654432818463533,19707218.0000000000000000
2024-06-03 09:00:00,69143.1091147998636755,19707218.0000000000000000
2024-06-03 10:00:00,69028.3441751944974349,19707218.0000000000000000
2024-06-03 11:00:00,68898.2499867936581478,19707218.0000000000000000
2024-06-03 12:00:00,69073.5329872758853397,19707265.0000000000000000
2024-06-03 13:00:00,69698.9159706739448607,19707265.0000000000000000
2024-06-03 14:00:00,69823.1383521815202933,19707265.0000000000000000
2024-06-03 15:00:00,68728.0546247605424949,19707284.0000000000000000
2024-06-03 16:00:00,69463.3671653984532809,19707284.0000000000000000
2024-06-03 17:00:00,69081.3098669666909060,19707284.0000000000000000
2024-06-03 18:00:00,69291.6516970268998231,19707284.0000000000000000
2024-06-03 19:00:00,69299.3392594123013210,19707293.0000000000000000
2024-06-03 20:00:00,69127.2900104148572967,19707293.0000000000000000
2024-06-03 21:00:00,69150.5139997663899952,19707296.0000000000000000
2024-06-03 22:00:00,69122.0805776871149940,19707296.0000000000000000
2024-06-03 23:00:00,69079.0444215213964070,19707296.0000000000000000
2024-06-04 00:00:00,68843.1373543723747968,19707296.0000000000000000
2024-06-04 01:00:00,69044.1297277985700369,19707300.0000000000000000
2024-06-04 02:00:00,69206.0853555708048769,19707300.0000000000000000
2024-06-04 03:00:00,69135.1090521567871721,19707384.0000000000000000
2024-06-04 04:00:00,69197.4841652183174805,19707384.0000000000000000
2024-06-04 05:00:00,69090.2994282035369385,19707384.0000000000000000
2024-06-04 06:00:00,68979.2168211166606168,19707384.0000000000000000
2024-06-04 07:00:00,68959.7604242389708250,19707496.0000000000000000
2024-06-04 08:00:00,69048.1837140792738894,19707496.0000000000000000
2024-06-04 09:00:00,68921.3456768800429586,19707540.0000000000000000
2024-06-04 10:00:00,68703.2509953305930644,19707540.0000000000000000
2024-06-04 11:00:00,68930.4921867670288004,19707540.0000000000000000
2024-06-04 12:00:00,68941.2819116380316848,19707593.0000000000000000
2024-06-04 13:00:00,68937.3679169591976058,19707593.0000000000000000
